24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
24,0,1,1,2,1,2,1,2,1,2,1,2,1,2,2,2,2,3,24
24,10,51,52,11,11,12,51,52,11,12,51,52,11,11,12,51,52,13,24
24,10,21,4,5,4,5,21,5,21,5,21,15,4,5,4,4,5,13,24
24,10,4,22,15,14,15,6,14,14,14,14,9,14,15,14,14,15,13,24
24,10,14,15,21,9,5,26,7,8,8,7,29,4,6,5,21,5,13,24
24,10,22,4,28,29,15,16,17,11,11,12,19,14,26,27,14,15,13,24
24,10,4,5,38,29,5,36,27,22,22,38,29,22,26,37,21,5,13,24
24,10,14,15,28,29,15,36,37,15,15,38,39,14,26,27,14,15,23,24
24,20,22,21,38,29,21,46,14,4,21,14,49,4,26,37,22,5,13,24
24,10,4,5,28,29,22,6,7,8,8,7,9,4,26,37,14,15,23,24
24,10,22,4,38,29,5,26,12,17,17,17,19,14,26,27,4,5,13,24
24,20,4,14,15,49,5,36,27,5,21,28,29,22,46,5,22,5,23,24
24,20,14,15,22,14,15,46,5,22,5,21,49,14,14,15,14,15,23,24
24,30,31,32,31,31,31,31,32,31,32,31,31,31,31,32,31,32,33,24
24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
